count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
809732,9,"South East",142,Oxfordshire,B4508,Minor,,,427631,190861,51.61590200,-1.60232600,,
809697,9,"South East",142,Oxfordshire,B4027,Minor,,,452098,215098,51.83207400,-1.24536010,,
809661,9,"South East",142,Oxfordshire,U,Minor,,,452331,199134,51.68853100,-1.24437790,,
809467,9,"South East",142,Oxfordshire,U,Minor,,,434019,193485,51.63914600,-1.50981440,,
809363,9,"South East",142,Oxfordshire,U,Minor,,,468660,201756,51.71034600,-1.00768060,,
809151,9,"South East",142,Oxfordshire,B4022,Minor,,,435240,212808,51.81280000,-1.49022210,,
809094,9,"South East",142,Oxfordshire,U,Minor,,,435232,233339,51.99738400,-1.48824590,,
808942,9,"South East",142,Oxfordshire,U,Minor,,,459715,193855,51.64033700,-1.13847350,,
808851,9,"South East",142,Oxfordshire,U,Minor,,,441898,193125,51.63537900,-1.39601010,,
808746,9,"South East",142,Oxfordshire,B480,Minor,,,456020,203205,51.72291300,-1.18634510,,
808744,9,"South East",142,Oxfordshire,U,Minor,,,470740,180583,51.51974600,-0.98184876,,
808730,9,"South East",142,Oxfordshire,B4027,Minor,,,459181,206715,51.75600600,-1.14401120,,
808720,9,"South East",142,Oxfordshire,U,Minor,,,447593,212710,51.81100600,-1.31105860,,
808656,9,"South East",142,Oxfordshire,U,Minor,,,444534,216645,51.84663500,-1.35492180,,
808357,9,"South East",142,Oxfordshire,U,Minor,,,430851,226121,51.93275000,-1.55270020,,
808217,9,"South East",142,Oxfordshire,U,Minor,,,435923,219505,51.87296600,-1.47962170,,
808190,9,"South East",142,Oxfordshire,U,Minor,,,424202,188947,51.59885100,-1.65198100,,
808133,9,"South East",142,Oxfordshire,U,Minor,,,459700,221793,51.89150200,-1.13389820,,
808032,9,"South East",142,Oxfordshire,U,Minor,,,445858,196804,51.66814800,-1.33831450,,
807955,9,"South East",142,Oxfordshire,U,Minor,,,442938,209920,51.78629800,-1.37892030,,
807803,9,"South East",142,Oxfordshire,U,Minor,,,429287,195496,51.65749200,-1.57802310,,
807722,9,"South East",142,Oxfordshire,B4001,Minor,,,436141,187391,51.58422400,-1.47977870,,
807349,9,"South East",142,Oxfordshire,U,Minor,,,446657,231591,51.98082900,-1.32208570,,
807296,9,"South East",142,Oxfordshire,B4022,Minor,,,435725,210900,51.79561500,-1.48338320,,
807273,9,"South East",142,Oxfordshire,U,Minor,,,441252,241762,52.07269400,-1.39955450,,
807240,9,"South East",142,Oxfordshire,U,Minor,,,447703,211973,51.80437100,-1.30956440,,
807188,9,"South East",142,Oxfordshire,U,Minor,,,445320,216831,51.84824400,-1.34348820,,
807043,9,"South East",142,Oxfordshire,U,Minor,,,470443,181042,51.52391000,-0.98603695,,
807031,9,"South East",142,Oxfordshire,U,Minor,,,464066,196709,51.66551600,-1.07508500,,
807024,9,"South East",142,Oxfordshire,U,Minor,,,470440,206024,51.74849400,-0.98106078,,
807005,9,"South East",142,Oxfordshire,B4027,Minor,,,443734,220523,51.88156200,-1.36604460,,
806955,9,"South East",142,Oxfordshire,U,Minor,,,444424,216928,51.84918800,-1.35648230,,
806944,9,"South East",142,Oxfordshire,B4494,Minor,,,440508,187100,51.58131100,-1.41678740,,
806753,9,"South East",142,Oxfordshire,U,Minor,,,457889,194003,51.64185800,-1.16483290,,
806711,9,"South East",142,Oxfordshire,U,Minor,,,431085,226619,51.93721500,-1.54925210,,
806622,9,"South East",142,Oxfordshire,U,Minor,,,428459,194669,51.65009900,-1.59005940,,
806614,9,"South East",142,Oxfordshire,U,Minor,,,462212,191921,51.62267900,-1.10273770,,
806564,9,"South East",142,Oxfordshire,U,Minor,,,441311,212804,51.81234900,-1.40216320,,
806290,9,"South East",142,Oxfordshire,B4493,Minor,,,449099,189049,51.59815300,-1.29254010,,
806211,9,"South East",142,Oxfordshire,B4495,Minor,,,453725,204013,51.73226400,-1.22346380,,
806081,9,"South East",142,Oxfordshire,C,Minor,,,426877,218272,51.86238800,-1.61110720,,
805952,9,"South East",142,Oxfordshire,C,Minor,,,428349,194810,51.65137200,-1.59163790,,
805937,9,"South East",142,Oxfordshire,C,Minor,,,435763,219521,51.87312000,-1.48194400,,
805830,9,"South East",142,Oxfordshire,C,Minor,,,436132,216469,51.84565700,-1.47690260,,
805814,9,"South East",142,Oxfordshire,C,Minor,,,432321,215478,51.83698100,-1.53231430,,
805587,9,"South East",142,Oxfordshire,C,Minor,,,429990,189825,51.60877600,-1.57004120,,
805537,9,"South East",142,Oxfordshire,B4026,Minor,,,435005,221632,51.89214700,-1.49274010,,
805324,9,"South East",142,Oxfordshire,U,Minor,,,459681,222157,51.89477600,-1.13411140,,
805284,9,"South East",142,Oxfordshire,U,Minor,,,452823,189664,51.60334600,-1.23868820,,
804028,9,"South East",142,Oxfordshire,U,Minor,,,450201,209974,51.78618100,-1.27362750,,
804027,9,"South East",142,Oxfordshire,U,Minor,,,440097,188112,51.59043900,-1.42260330,,
804026,9,"South East",142,Oxfordshire,U,Minor,,,449672,196160,51.66203400,-1.28326180,,
804025,9,"South East",142,Oxfordshire,U,Minor,,,454313,207322,51.76195600,-1.21443470,,
804024,9,"South East",142,Oxfordshire,U,Minor,,,436819,210843,51.79503200,-1.46752670,,
804021,9,"South East",142,Oxfordshire,U,Minor,,,444931,241168,52.06706900,-1.34596020,,
804020,9,"South East",142,Oxfordshire,U,Minor,,,452360,189995,51.60636500,-1.24532350,,
804019,9,"South East",142,Oxfordshire,U,Minor,,,459468,223631,51.90805000,-1.13695260,,
802530,9,"South East",142,Oxfordshire,U,Minor,,,463023,231260,51.97624200,-1.08388660,,
802529,9,"South East",142,Oxfordshire,U,Minor,,,459891,180734,51.52235600,-1.13816420,,
802528,9,"South East",142,Oxfordshire,U,Minor,,,461784,187591,51.58379900,-1.10968090,,
802527,9,"South East",142,Oxfordshire,U,Minor,,,449400,189593,51.60301700,-1.28811840,,
802525,9,"South East",142,Oxfordshire,U,Minor,,,462966,229280,51.95152100,-1.08801350,,
802524,9,"South East",142,Oxfordshire,U,Minor,,,425199,211682,51.80321700,-1.63595170,,
802523,9,"South East",142,Oxfordshire,U,Minor,,,443306,236278,52.02323700,-1.37028200,,
802522,9,"South East",142,Oxfordshire,U,Minor,,,435025,233294,51.99699200,-1.49126530,,
